Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,42.7,,,,,,,,,,,
Albanie,ALB,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,31.7,,,30.6,,,30,,,,29,,,,,,,
Andorre,AND,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le monde arabe,ARB,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Émirats arabes unis,ARE,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentine,ARG,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,40.8,,,,,,42.8,45.3,,,,46.8,45.5,44.9,45.9,48.9,49.5,49.1,50.7,49.8,51.1,53.3,53.8,51.2,48.6,48,46.7,46.6,45.3,44.1,44.5,42.7,41.4,41,41.7,,42,41.2,,
Arménie,ARM,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.2,,35.4,34.8,33,37.5,36,29.7,31.2,29.2,28,30,29.4,29.6,30.6,31.5,32.4,32.5,33.6,,
Samoa américaines,ASM,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua-et-Barbuda,ATG,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australie,AUS,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,31.3,,,,32.5,,,,33.2,,,,,,32.6,,,,,,33.5,,33.5,33.1,,,,35.4,,34.7,,,,35.8,,,,,
Autriche,AUT,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,29.8,28.7,29.6,30.6,30.4,31.5,30.3,30.8,30.5,30.8,30.5,30.5,,,,
Azerbaïdjan,AZE,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.7,,,,,,36.5,25.3,26.8,26.6,26.6,,,,,,,,,,,,,,
Burundi,BDI,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3,,,,,,42.3,,,,,,,,33.4,,,,,,,38.6,,,,,,
Belgique,BEL,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1,30.5,29.3,28.1,29.2,28.4,28.5,28.4,28.1,27.5,27.7,28.1,27.7,,,,
Bénin,BEN,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6,,,,,,,,43.4,,,,47.8,,,,
Burkina Faso,BFA,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.1,,,,49.9,,,,,43.3,,,,,,39.8,,,,,35.3,,,,,
Bangladesh,BGD,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,25.9,,26.9,,,28.8,,,27.6,,,,32.9,,,,,33.4,,,,,33.2,,,,,32.1,,,,,,32.4,,,
Bulgarie,BGR,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.7,,,,,,,,,,,,,,35.7,36.1,33.6,33.8,35.7,34.3,36,36.6,37.4,,,,,
Bahreïn,BHR,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,BHS,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnie-Herzégovine,BIH,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,34,,,33.1,,,,33,,,,,,,,
Bélarus,BLR,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,31.7,31.2,30.6,30.3,28.8,26.5,27.6,28.3,29.6,27.8,27.7,28.6,27.2,26.5,26.6,27.2,25.6,25.3,25.4,,
Belize,BLZ,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.3,60.9,,56.6,60.4,54.9,53.3,,,,,,,,,,,,,,,,,,,,
Bermudes,BMU,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivie,BOL,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,58.2,,58.1,61.6,57.4,59.3,,55,58.5,56.7,54.5,50.8,49.2,,46.1,46.6,47.6,47.8,46.7,44.6,44,,
Brésil,BRA,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,58,58.4,59,58.4,55.6,58.5,59.7,61.4,63.3,60.5,,53.2,60.1,,59.6,59.9,59.8,59.6,59,,58.4,58.1,57.6,56.5,56.3,55.6,54.9,54,53.7,,52.9,52.7,52.8,51.5,51.3,53.7,53.3,,
Barbade,BRB,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunéi Darussalam,BRN,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhoutan,BTN,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.9,,,,38.1,,,,,38.8,,,,,37.4,,
Botswana,BWA,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,54.2,,,,,,,,60.8,,,,,,,,,64.7,,,,,,,60.5,,,,,,53.3,,,,
République centrafricaine,CAF,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.3,,,,,,,,,,,43.6,,,,,56.2,,,,,,,,,,,
Canada,CAN,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,32.4,,,,,,31.5,,,,31,,,31.3,,,31.6,33.2,,33.3,,,,33.7,,,33.8,,,33.6,,,34,,,,,,
Europe centrale et les pays baltes,CEB,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suisse,CHE,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9,34.3,33.8,32.9,32.6,31.7,31.6,32.5,32.5,32.3,,,,
Îles Anglo-Normandes,CHI,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chili,CHL,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.2,,,57.2,,54.8,,56.4,,54.9,,55.5,,52.8,,,51.5,,,48.2,,,49,,47.6,,47.3,,47.7,,46.6,,
Chine,CHN,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.2,,,,,,35.2,,,38.7,,,42,,,40.9,,,43,,43.7,42.4,42.2,39.7,39.2,38.6,,,,
Côte d'Ivoire,CIV,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,45.5,38,40.5,36.9,,,,39.4,,,40.6,,,39,,,,41.3,,,,,,43.2,,,,,,,41.5,,,,
Cameroun,CMR,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4,,,,,42.1,,,,,,42.8,,,,,,,46.6,,,,,
"Congo, République démocratique du",COD,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2,,,,,,,,42.1,,,,,,,
"Congo, République du",COG,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.3,,,,,,48.9,,,,,,,,
Colombie,COL,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.5,,,,56.9,,,58.7,58.7,57.2,55.8,53.4,54.8,53.7,,,55.5,54.4,54.7,53.5,52.7,52.8,52.7,51.1,50.8,49.7,,
Comores,COM,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.9,,,,,,,,,45.3,,,,,,
Cabo Verde,CPV,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5,,,,,,47.2,,,,,,,,,,,,
Costa Rica,CRI,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,47.5,,,,,34.4,,,46.7,45.3,46.6,45.7,46,46.8,45.7,46.5,45.6,45.7,47.7,47.4,51.6,51.9,49.3,48.3,47.5,49.4,49.3,48.7,50.6,48.2,48.7,48.6,49.3,48.6,48.4,48.7,48.3,,
Petits états des Caraïbes,CSS,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Îles Caïmans,CYM,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chypre,CYP,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1,30.3,31.1,31.1,31.7,32.1,31.5,32.6,34.3,37,35.6,34,,,,
République tchèque,CZE,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.6,,,25.8,,,,,,,,27.5,26.9,26.7,26,26.3,26.2,26.6,26.4,26.1,26.5,25.9,25.9,,,,
Allemagne,DEU,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.2,,,29.2,29,,,28.3,,28.8,30.3,30,30.3,30.4,32.3,31.3,31.3,31.2,30.5,30.2,30.5,,31.1,,31.7,,,,
Djibouti,DJI,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,45.1,44.1,,,,41.6,,
Dominique,DMA,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danemark,DNK,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.6,24.9,25.2,25.9,26.2,25.2,26.7,27.2,27.3,27.8,28.5,28.4,28.2,,,,
République dominicaine,DOM,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,47.8,,,50.5,,,51.4,,,,47.4,48.9,,,51.5,50,49.7,52.1,52.1,50,52,48.9,48.1,48.9,47.3,47.7,46.1,47.7,44.3,45.2,45.7,,,
Algérie,DZA,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2,,,,,,,35.3,,,,,,,,,,,,,,,,27.6,,,,,,,,
Asie de l’Est et Pacifique (hors revenu élevé),EAP,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de dividende précoce démographique,EAR,Indice GINI,SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
